ExperienceYears,Salary
4,412110
5,238854
6,451678
1,297932
3,202511
3,291856
6,477267
5,497062
4,327523
6,435679
5,315294
5,201757
3,309719
4,276801
2,369087
4,256588
4,365210
1,362530
1,274615
5,484230
5,451260
1,458688
5,436788
4,413132
2,264689
5,353076
5,366624
5,391299
3,496132
6,357902
1,266611
6,299800
2,249475
2,332064
6,419254
2,265060
1,458838
6,206768
3,428288
2,341045
2,331748
2,440177
5,366128
5,243208
3,388296
5,314381
4,287068
4,422837
6,454463
6,460644
2,498971
4,480813
6,440118
3,301213
6,311153
4,447946
6,478546
5,270068
2,499429
2,449742
5,457648
5,314585
6,399149
5,448504
4,361531
4,416839
1,242402
1,385643
3,375129
2,248415
5,264925
1,377548
5,480546
1,267242
2,304484
6,441983
1,218457
1,238761
4,463385
5,397189
6,237402
1,208390
2,470663
2,435055
5,475327
3,352428
1,321579
3,309215
4,216458
3,261664
1,354433
3,235597
4,258094
6,457609
6,354246
1,337823
3,463841
1,261308
2,263793
5,463872
