AdminExp,RnDExp,MarketingExp,Location,Profit
373738,341281,336983,North London,327067
365434,285493,275895,East London,365190
477409,237392,350816,North London,332882
420006,433843,293333,North London,421352
203934,273368,465766,East London,268334
329298,256571,349411,South London,422907
425019,396415,467123,East London,442825
441112,261106,404105,South London,401089
274107,232214,317550,South London,259492
435003,317050,261136,Central London,383648
489079,329441,301501,South London,284899
445068,366155,254829,Central London,211843
320918,390362,257686,East London,248526
219696,301960,474142,East London,434832
371052,276702,335773,Central London,424719
283382,316030,208988,North London,427527
205523,334783,250399,South London,367169
244687,474745,201169,East London,412395
408371,299357,409275,Central London,324448
468933,291939,378164,East London,244036
256544,273087,437540,East London,458527
466303,220586,352750,East London,478667
424086,414621,299733,North London,241175
245394,493351,379739,Central London,358605
272838,494713,430318,North London,390778
330023,236528,366437,East London,206445
476684,437471,341893,Central London,343745
402374,226647,259297,East London,360727
228627,283651,431018,Central London,312214
499501,460408,381513,South London,232641
242330,476023,397096,East London,238614
373189,287542,235423,South London,455362
396648,269977,416317,East London,393215
442709,396955,274190,North London,384847
420533,372441,262015,East London,258510
318097,220542,380510,Central London,369116
272650,460133,271893,South London,434048
290006,246843,287924,Central London,422201
207918,252309,449191,South London,364762
314010,430822,369034,East London,479740
484501,387822,318428,North London,349898
481623,430035,287018,North London,270589
415097,381984,469519,North London,345332
445285,484136,396326,South London,454898
493749,368551,478104,South London,324823
347686,440526,342505,East London,347540
234426,286955,213546,Central London,382720
325730,398440,363438,North London,383362
388309,241523,416426,North London,269768
355378,443278,444343,East London,319713
251434,202126,499165,North London,340739
297106,203308,294948,Central London,307803
291318,433173,247638,Central London,323982
486322,396590,211203,South London,256409
280282,341034,235377,East London,331869
367551,319680,369284,South London,339660
359264,466318,268085,East London,463696
492959,212166,292950,East London,411084
377523,228273,375973,Central London,261108
230533,443238,285755,South London,471951
491986,491536,487377,East London,386354
473259,253505,223777,North London,204122
275636,366188,376551,South London,283834
432311,242130,205578,South London,395253
225456,217826,425525,South London,210892
264064,339786,246836,Central London,349218
366035,496113,327037,North London,468122
211203,256226,392696,South London,331562
443383,312411,272941,North London,224866
214132,206331,216474,North London,207631
331097,384543,391475,North London,435460
235152,282775,488800,South London,364860
415773,395531,478727,South London,443740
455902,291266,326962,East London,389187
403954,216572,259229,East London,425150
208165,208681,384370,East London,452926
312664,372571,329227,Central London,420183
204877,429270,252932,South London,332647
327988,439352,377486,South London,345868
301292,451263,360487,North London,244138
367495,352203,368606,East London,480227
499092,306036,498563,South London,206497
465398,422101,202263,East London,263640
391713,487679,218867,North London,338313
223598,493302,286656,North London,373295
404930,342500,411279,South London,448061
391023,319875,244772,East London,394566
298043,421076,344674,Central London,230285
250092,497681,239469,North London,451904
326712,463981,461901,Central London,379910
336441,431966,224788,South London,431268
209876,410678,243291,North London,362930
389363,468806,330721,North London,401757
250927,490079,264314,Central London,279669
487644,200728,214609,North London,477423
223056,309409,401247,East London,351935
499857,234724,429217,East London,443834
267005,372101,255828,North London,451794
308826,448668,265857,East London,320482
208199,336818,267541,East London,491311
